n_qubits,dim,mean_time_ms,std_time_ms,mean_fidelity,std_fidelity,min_fidelity,max_fidelity
2,4,0.1999378204345703,0.3998756408691407,0.22905972456649787,0.20280463752020367,0.01045999814292003,0.5584332592359583
3,8,0.4002571105957031,0.4902128434401034,0.1683552826373269,0.11565501704284567,0.06530112557109494,0.3853445768325575
4,16,0.8003711700439453,0.40018920354198645,0.092243587683688,0.09078692410333625,0.022057036031393158,0.27021768368800286
5,32,1.0012149810791016,0.000762939453125,0.02341325789829806,0.0230044238041368,0.0042834629870250876,0.0676077198996944
